ECG,time
417,2023-09-14 00:03:23.592000000
1722,2023-09-14 00:03:23.592000000
2811,2023-09-14 00:03:23.551000000
2421,2023-09-14 00:03:23.550000000
475,2023-09-14 00:03:23.540000000
1713,2023-09-14 00:03:23.528000000
729,2023-09-14 00:03:23.525000000
1813,2023-09-14 00:03:23.507000000
948,2023-09-14 00:03:23.492000000
1943,2023-09-14 00:03:23.489000000
1213,2023-09-14 00:03:23.485000000
762,2023-09-14 00:03:23.484000000
2611,2023-09-14 00:03:23.483000000
3353,2023-09-14 00:03:23.475000000
2347,2023-09-14 00:03:23.458000000
3397,2023-09-14 00:03:23.454000000
2303,2023-09-14 00:03:23.440000000
1221,2023-09-14 00:03:23.429000000
569,2023-09-14 00:03:23.429000000
1757,2023-09-14 00:03:23.401000000
3591,2023-09-14 00:03:23.387000000
1102,2023-09-14 00:03:23.372000000
1584,2023-09-14 00:03:23.361000000
2417,2023-09-14 00:03:23.345000000
3131,2023-09-14 00:03:23.337000000
1511,2023-09-14 00:03:23.316000000
3699,2023-09-14 00:03:23.310000000
2694,2023-09-14 00:03:23.296000000
2751,2023-09-14 00:03:23.293000000
912,2023-09-14 00:03:23.285000000
1439,2023-09-14 00:03:23.280000000
1309,2023-09-14 00:03:23.267000000
1935,2023-09-14 00:03:23.263000000
1887,2023-09-14 00:03:23.241000000
1435,2023-09-14 00:03:23.236000000
1683,2023-09-14 00:03:23.223000000
3607,2023-09-14 00:03:23.218000000
3149,2023-09-14 00:03:23.205000000
3875,2023-09-14 00:03:23.197000000
1170,2023-09-14 00:03:23.177000000
2758,2023-09-14 00:03:23.160000000
3669,2023-09-14 00:03:23.148000000
4095,2023-09-14 00:03:23.137000000
3291,2023-09-14 00:03:23.137000000
2502,2023-09-14 00:03:23.121000000
3958,2023-09-14 00:03:23.118000000
4095,2023-09-14 00:03:23.117000000
1131,2023-09-14 00:03:23.116000000
1347,2023-09-14 00:03:23.101000000
1793,2023-09-14 00:03:23.091000000
2353,2023-09-14 00:03:23.090000000
1949,2023-09-14 00:03:23.081000000
2448,2023-09-14 00:03:23.080000000
2327,2023-09-14 00:03:23.064000000
1438,2023-09-14 00:03:23.055000000
1863,2023-09-14 00:03:23.048000000
1168,2023-09-14 00:03:23.033000000
3088,2023-09-14 00:03:23.019000000
1810,2023-09-14 00:03:23.013000000
3539,2023-09-14 00:03:23.002000000
1123,2023-09-14 00:03:23.001000000
2179,2023-09-14 00:03:23.000000000
1648,2023-09-14 00:03:22.997000000
1191,2023-09-14 00:03:22.993000000
1146,2023-09-14 00:03:22.992000000
1398,2023-09-14 00:03:22.990000000
4095,2023-09-14 00:03:22.988000000
3056,2023-09-14 00:03:22.987000000
1030,2023-09-14 00:03:22.953000000
1246,2023-09-14 00:03:22.948000000
2452,2023-09-14 00:03:22.940000000
1237,2023-09-14 00:03:22.925000000
1492,2023-09-14 00:03:22.918000000
1331,2023-09-14 00:03:22.911000000
1249,2023-09-14 00:03:22.893000000
4095,2023-09-14 00:03:22.892000000
2597,2023-09-14 00:03:22.892000000
1135,2023-09-14 00:03:22.887000000
1806,2023-09-14 00:03:22.886000000
1881,2023-09-14 00:03:22.880000000
3408,2023-09-14 00:03:22.876000000
3792,2023-09-14 00:03:22.869000000
3734,2023-09-14 00:03:22.862000000
4095,2023-09-14 00:03:22.859000000
1595,2023-09-14 00:03:22.851000000
3113,2023-09-14 00:03:22.843000000
2346,2023-09-14 00:03:22.839000000
1760,2023-09-14 00:03:22.839000000
3600,2023-09-14 00:03:22.832000000
2477,2023-09-14 00:03:22.812000000
1889,2023-09-14 00:03:22.805000000
3749,2023-09-14 00:03:22.763000000
1603,2023-09-14 00:03:22.703000000
2735,2023-09-14 00:03:22.702000000
2346,2023-09-14 00:03:22.695000000
3088,2023-09-14 00:03:22.678000000
3723,2023-09-14 00:03:22.675000000
893,2023-09-14 00:03:22.672000000
2986,2023-09-14 00:03:22.672000000
1666,2023-09-14 00:03:22.671000000
971,2023-09-14 00:03:22.659000000
1504,2023-09-14 00:03:22.651000000
2774,2023-09-14 00:03:22.634000000
1459,2023-09-14 00:03:22.616000000
2256,2023-09-14 00:03:22.572000000
1700,2023-09-14 00:03:22.570000000
3034,2023-09-14 00:03:22.535000000
1587,2023-09-14 00:03:22.533000000
2256,2023-09-14 00:03:22.508000000
3262,2023-09-14 00:03:22.494000000
2946,2023-09-14 00:03:22.494000000
800,2023-09-14 00:03:22.492000000
933,2023-09-14 00:03:22.480000000
3161,2023-09-14 00:03:22.480000000
2601,2023-09-14 00:03:22.480000000
1010,2023-09-14 00:03:22.473000000
593,2023-09-14 00:03:22.473000000
1449,2023-09-14 00:03:22.472000000
2086,2023-09-14 00:03:22.472000000
1807,2023-09-14 00:03:22.471000000
2759,2023-09-14 00:03:22.470000000
2114,2023-09-14 00:03:22.463000000
2670,2023-09-14 00:03:22.459000000
584,2023-09-14 00:03:22.434000000
310,2023-09-14 00:03:22.403000000
2437,2023-09-14 00:03:22.399000000
1564,2023-09-14 00:03:22.384000000
2173,2023-09-14 00:03:22.378000000
2010,2023-09-14 00:03:22.337000000
1708,2023-09-14 00:03:22.329000000
406,2023-09-14 00:03:22.329000000
1106,2023-09-14 00:03:22.303000000
455,2023-09-14 00:03:22.303000000
191,2023-09-14 00:03:22.287000000
0,2023-09-14 00:03:22.280000000
0,2023-09-14 00:03:22.274000000
455,2023-09-14 00:03:22.274000000
0,2023-09-14 00:03:22.267000000
306,2023-09-14 00:03:22.250000000
1019,2023-09-14 00:03:22.245000000
0,2023-09-14 00:03:22.217000000
0,2023-09-14 00:03:22.209000000
0,2023-09-14 00:03:22.207000000
0,2023-09-14 00:03:22.205000000
0,2023-09-14 00:03:22.201000000
0,2023-09-14 00:03:22.189000000
337,2023-09-14 00:03:22.184000000
0,2023-09-14 00:03:22.182000000
0,2023-09-14 00:03:22.167000000
0,2023-09-14 00:03:22.166000000
1867,2023-09-14 00:03:22.138000000
0,2023-09-14 00:03:22.135000000
0,2023-09-14 00:03:22.132000000
1853,2023-09-14 00:03:22.128000000
0,2023-09-14 00:03:22.123000000
0,2023-09-14 00:03:22.113000000
1760,2023-09-14 00:03:22.092000000
1739,2023-09-14 00:03:22.092000000
1837,2023-09-14 00:03:22.083000000
1835,2023-09-14 00:03:22.082000000
1745,2023-09-14 00:03:22.082000000
1756,2023-09-14 00:03:22.071000000
1791,2023-09-14 00:03:22.058000000
1895,2023-09-14 00:03:22.048000000
1791,2023-09-14 00:03:22.035000000
1831,2023-09-14 00:03:22.032000000
1858,2023-09-14 00:03:21.985000000
1747,2023-09-14 00:03:21.960000000
1799,2023-09-14 00:03:21.888000000
1808,2023-09-14 00:03:21.869000000
1775,2023-09-14 00:03:21.863000000
1302,2023-09-14 00:03:21.859000000
1714,2023-09-14 00:03:21.849000000
1406,2023-09-14 00:03:21.838000000
3449,2023-09-14 00:03:21.837000000
1451,2023-09-14 00:03:21.831000000
1346,2023-09-14 00:03:21.821000000
750,2023-09-14 00:03:21.809000000
3187,2023-09-14 00:03:21.780000000
2491,2023-09-14 00:03:21.768000000
802,2023-09-14 00:03:21.766000000
2256,2023-09-14 00:03:21.764000000
2998,2023-09-14 00:03:21.761000000
1737,2023-09-14 00:03:21.753000000
656,2023-09-14 00:03:21.743000000
624,2023-09-14 00:03:21.736000000
3175,2023-09-14 00:03:21.720000000
3201,2023-09-14 00:03:21.720000000
2650,2023-09-14 00:03:21.684000000
1744,2023-09-14 00:03:21.665000000
1040,2023-09-14 00:03:21.652000000
2433,2023-09-14 00:03:21.649000000
0,2023-09-14 00:03:21.645000000
0,2023-09-14 00:03:21.630000000
2896,2023-09-14 00:03:21.621000000
434,2023-09-14 00:03:21.616000000
673,2023-09-14 00:03:21.613000000
1815,2023-09-14 00:03:21.610000000
2354,2023-09-14 00:03:21.585000000
3011,2023-09-14 00:03:21.572000000
2947,2023-09-14 00:03:21.569000000
2004,2023-09-14 00:03:21.554000000
811,2023-09-14 00:03:21.551000000
409,2023-09-14 00:03:21.546000000
625,2023-09-14 00:03:21.540000000
2618,2023-09-14 00:03:21.520000000
3059,2023-09-14 00:03:21.515000000
1585,2023-09-14 00:03:21.508000000
641,2023-09-14 00:03:21.486000000
2690,2023-09-14 00:03:21.480000000
3051,2023-09-14 00:03:21.477000000
441,2023-09-14 00:03:21.469000000
3312,2023-09-14 00:03:21.449000000
594,2023-09-14 00:03:21.449000000
2941,2023-09-14 00:03:21.446000000
1627,2023-09-14 00:03:21.431000000
1739,2023-09-14 00:03:21.408000000
2349,2023-09-14 00:03:21.408000000
697,2023-09-14 00:03:21.401000000
1237,2023-09-14 00:03:21.401000000
2703,2023-09-14 00:03:21.376000000
1623,2023-09-14 00:03:21.370000000
1237,2023-09-14 00:03:21.360000000
511,2023-09-14 00:03:21.356000000
537,2023-09-14 00:03:21.345000000
1327,2023-09-14 00:03:21.344000000
2893,2023-09-14 00:03:21.336000000
2745,2023-09-14 00:03:21.304000000
3054,2023-09-14 00:03:21.304000000
688,2023-09-14 00:03:21.279000000
549,2023-09-14 00:03:21.273000000
477,2023-09-14 00:03:21.271000000
688,2023-09-14 00:03:21.250000000
582,2023-09-14 00:03:21.248000000
714,2023-09-14 00:03:21.244000000
2313,2023-09-14 00:03:21.240000000
951,2023-09-14 00:03:21.239000000
3109,2023-09-14 00:03:21.229000000
1233,2023-09-14 00:03:21.203000000
1626,2023-09-14 00:03:21.199000000
1639,2023-09-14 00:03:21.185000000
3571,2023-09-14 00:03:21.173000000
1428,2023-09-14 00:03:21.146000000
767,2023-09-14 00:03:21.141000000
3408,2023-09-14 00:03:21.136000000
1337,2023-09-14 00:03:21.114000000
2199,2023-09-14 00:03:21.113000000
2419,2023-09-14 00:03:21.105000000
944,2023-09-14 00:03:21.096000000
939,2023-09-14 00:03:21.072000000
1535,2023-09-14 00:03:21.071000000
475,2023-09-14 00:03:21.069000000
1455,2023-09-14 00:03:21.050000000
3319,2023-09-14 00:03:21.037000000
2768,2023-09-14 00:03:21.037000000
1197,2023-09-14 00:03:21.037000000
569,2023-09-14 00:03:21.036000000
633,2023-09-14 00:03:21.035000000
554,2023-09-14 00:03:21.017000000
1973,2023-09-14 00:03:20.995000000
231,2023-09-14 00:03:20.965000000
2329,2023-09-14 00:03:20.962000000
2305,2023-09-14 00:03:20.946000000
3056,2023-09-14 00:03:20.941000000
1943,2023-09-14 00:03:20.935000000
931,2023-09-14 00:03:20.913000000
2063,2023-09-14 00:03:20.907000000
3143,2023-09-14 00:03:20.895000000
2909,2023-09-14 00:03:20.895000000
2355,2023-09-14 00:03:20.894000000
2283,2023-09-14 00:03:20.876000000
3053,2023-09-14 00:03:20.873000000
655,2023-09-14 00:03:20.857000000
640,2023-09-14 00:03:20.844000000
1781,2023-09-14 00:03:20.827000000
1193,2023-09-14 00:03:20.812000000
1062,2023-09-14 00:03:20.806000000
3046,2023-09-14 00:03:20.803000000
3248,2023-09-14 00:03:20.795000000
2437,2023-09-14 00:03:20.787000000
3120,2023-09-14 00:03:20.785000000
3006,2023-09-14 00:03:20.780000000
2095,2023-09-14 00:03:20.776000000
1840,2023-09-14 00:03:20.750000000
3190,2023-09-14 00:03:20.748000000
714,2023-09-14 00:03:20.726000000
1391,2023-09-14 00:03:20.724000000
2559,2023-09-14 00:03:20.715000000
2379,2023-09-14 00:03:20.705000000
1047,2023-09-14 00:03:20.697000000
2716,2023-09-14 00:03:20.690000000
3071,2023-09-14 00:03:20.654000000
752,2023-09-14 00:03:20.653000000
1329,2023-09-14 00:03:20.652000000
1730,2023-09-14 00:03:20.649000000
510,2023-09-14 00:03:20.628000000
573,2023-09-14 00:03:20.627000000
878,2023-09-14 00:03:20.608000000
2604,2023-09-14 00:03:20.597000000
2115,2023-09-14 00:03:20.584000000
3293,2023-09-14 00:03:20.580000000
3342,2023-09-14 00:03:20.559000000
1408,2023-09-14 00:03:20.557000000
2608,2023-09-14 00:03:20.555000000
1909,2023-09-14 00:03:20.551000000
739,2023-09-14 00:03:20.548000000
3701,2023-09-14 00:03:20.546000000
3024,2023-09-14 00:03:20.525000000
1909,2023-09-14 00:03:20.511000000
2842,2023-09-14 00:03:20.505000000
3536,2023-09-14 00:03:20.497000000
2693,2023-09-14 00:03:20.488000000
1322,2023-09-14 00:03:20.458000000
1545,2023-09-14 00:03:20.453000000
3315,2023-09-14 00:03:20.438000000
2487,2023-09-14 00:03:20.436000000
2788,2023-09-14 00:03:20.434000000
1383,2023-09-14 00:03:20.426000000
2505,2023-09-14 00:03:20.422000000
2810,2023-09-14 00:03:20.421000000
927,2023-09-14 00:03:20.421000000
3312,2023-09-14 00:03:20.407000000
1092,2023-09-14 00:03:20.388000000
3537,2023-09-14 00:03:20.361000000
973,2023-09-14 00:03:20.342000000
1230,2023-09-14 00:03:20.335000000
1830,2023-09-14 00:03:20.317000000
609,2023-09-14 00:03:20.295000000
1315,2023-09-14 00:03:20.295000000
615,2023-09-14 00:03:20.295000000
652,2023-09-14 00:03:20.294000000
1331,2023-09-14 00:03:20.280000000
2624,2023-09-14 00:03:20.270000000
1921,2023-09-14 00:03:20.268000000
3163,2023-09-14 00:03:20.260000000
2806,2023-09-14 00:03:20.250000000
1744,2023-09-14 00:03:20.243000000
457,2023-09-14 00:03:20.224000000
2826,2023-09-14 00:03:20.188000000
1097,2023-09-14 00:03:20.177000000
3030,2023-09-14 00:03:20.174000000
3049,2023-09-14 00:03:20.161000000
1792,2023-09-14 00:03:20.158000000
3185,2023-09-14 00:03:20.157000000
1803,2023-09-14 00:03:20.152000000
576,2023-09-14 00:03:20.149000000
786,2023-09-14 00:03:20.144000000
2438,2023-09-14 00:03:20.141000000
3276,2023-09-14 00:03:20.137000000
2229,2023-09-14 00:03:20.130000000
1731,2023-09-14 00:03:20.124000000
2208,2023-09-14 00:03:20.095000000
1811,2023-09-14 00:03:20.073000000
1358,2023-09-14 00:03:20.063000000
1011,2023-09-14 00:03:20.055000000
2289,2023-09-14 00:03:20.025000000
377,2023-09-14 00:03:20.021000000
3133,2023-09-14 00:03:20.020000000
2978,2023-09-14 00:03:20.016000000
1613,2023-09-14 00:03:20.013000000
711,2023-09-14 00:03:20.006000000
2928,2023-09-14 00:03:19.980000000
3182,2023-09-14 00:03:19.975000000
613,2023-09-14 00:03:19.970000000
1635,2023-09-14 00:03:19.961000000
561,2023-09-14 00:03:19.947000000
1562,2023-09-14 00:03:19.937000000
1879,2023-09-14 00:03:19.912000000
2507,2023-09-14 00:03:19.896000000
665,2023-09-14 00:03:19.884000000
1573,2023-09-14 00:03:19.883000000
662,2023-09-14 00:03:19.883000000
607,2023-09-14 00:03:19.883000000
1954,2023-09-14 00:03:19.881000000
3276,2023-09-14 00:03:19.881000000
1389,2023-09-14 00:03:19.879000000
702,2023-09-14 00:03:19.862000000
2662,2023-09-14 00:03:19.849000000
2322,2023-09-14 00:03:19.838000000
2195,2023-09-14 00:03:19.817000000
2075,2023-09-14 00:03:19.778000000
1286,2023-09-14 00:03:19.768000000
1308,2023-09-14 00:03:19.757000000
3194,2023-09-14 00:03:19.755000000
1875,2023-09-14 00:03:19.755000000
802,2023-09-14 00:03:19.753000000
2645,2023-09-14 00:03:19.751000000
1360,2023-09-14 00:03:19.750000000
2699,2023-09-14 00:03:19.730000000
653,2023-09-14 00:03:19.729000000
2755,2023-09-14 00:03:19.700000000
881,2023-09-14 00:03:19.686000000
1839,2023-09-14 00:03:19.669000000
1745,2023-09-14 00:03:19.644000000
2678,2023-09-14 00:03:19.636000000
674,2023-09-14 00:03:19.633000000
1639,2023-09-14 00:03:19.632000000
463,2023-09-14 00:03:19.627000000
2736,2023-09-14 00:03:19.625000000
1707,2023-09-14 00:03:19.608000000
2000,2023-09-14 00:03:19.582000000
1318,2023-09-14 00:03:19.580000000
2443,2023-09-14 00:03:19.576000000
3037,2023-09-14 00:03:19.543000000
450,2023-09-14 00:03:19.539000000
1494,2023-09-14 00:03:19.536000000
2782,2023-09-14 00:03:19.532000000
1079,2023-09-14 00:03:19.527000000
3070,2023-09-14 00:03:19.526000000
2587,2023-09-14 00:03:19.523000000
1435,2023-09-14 00:03:19.523000000
781,2023-09-14 00:03:19.522000000
2537,2023-09-14 00:03:19.487000000
611,2023-09-14 00:03:19.485000000
1876,2023-09-14 00:03:19.469000000
1679,2023-09-14 00:03:19.453000000
2306,2023-09-14 00:03:19.451000000
540,2023-09-14 00:03:19.417000000
1170,2023-09-14 00:03:19.407000000
2253,2023-09-14 00:03:19.398000000
948,2023-09-14 00:03:19.393000000
976,2023-09-14 00:03:19.384000000
837,2023-09-14 00:03:19.370000000
868,2023-09-14 00:03:19.367000000
2032,2023-09-14 00:03:19.366000000
2957,2023-09-14 00:03:19.366000000
2181,2023-09-14 00:03:19.366000000
2815,2023-09-14 00:03:19.357000000
397,2023-09-14 00:03:19.299000000
566,2023-09-14 00:03:19.299000000
1284,2023-09-14 00:03:19.279000000
896,2023-09-14 00:03:19.278000000
2957,2023-09-14 00:03:19.258000000
1646,2023-09-14 00:03:19.250000000
627,2023-09-14 00:03:19.249000000
1879,2023-09-14 00:03:19.233000000
3061,2023-09-14 00:03:19.231000000
900,2023-09-14 00:03:19.230000000
631,2023-09-14 00:03:19.230000000
1168,2023-09-14 00:03:19.198000000
1770,2023-09-14 00:03:19.194000000
543,2023-09-14 00:03:19.181000000
1535,2023-09-14 00:03:19.179000000
2997,2023-09-14 00:03:19.170000000
2877,2023-09-14 00:03:19.160000000
529,2023-09-14 00:03:19.146000000
2511,2023-09-14 00:03:19.142000000
1728,2023-09-14 00:03:19.128000000
1687,2023-09-14 00:03:19.119000000
656,2023-09-14 00:03:19.112000000
1063,2023-09-14 00:03:19.107000000
2146,2023-09-14 00:03:19.106000000
3213,2023-09-14 00:03:19.093000000
1405,2023-09-14 00:03:19.087000000
2891,2023-09-14 00:03:19.075000000
2769,2023-09-14 00:03:19.075000000
2976,2023-09-14 00:03:19.068000000
221,2023-09-14 00:03:19.053000000
2432,2023-09-14 00:03:19.021000000
2653,2023-09-14 00:03:19.019000000
2274,2023-09-14 00:03:19.013000000
3039,2023-09-14 00:03:19.002000000
3093,2023-09-14 00:03:18.999000000
2530,2023-09-14 00:03:18.990000000
2350,2023-09-14 00:03:18.972000000
462,2023-09-14 00:03:18.970000000
2211,2023-09-14 00:03:18.948000000
540,2023-09-14 00:03:18.947000000
966,2023-09-14 00:03:18.936000000
1486,2023-09-14 00:03:18.933000000
1648,2023-09-14 00:03:18.933000000
579,2023-09-14 00:03:18.918000000
1295,2023-09-14 00:03:18.887000000
1799,2023-09-14 00:03:18.866000000
3414,2023-09-14 00:03:18.858000000
2823,2023-09-14 00:03:18.843000000
1725,2023-09-14 00:03:18.841000000
1369,2023-09-14 00:03:18.837000000
2816,2023-09-14 00:03:18.834000000
2736,2023-09-14 00:03:18.830000000
2029,2023-09-14 00:03:18.828000000
1621,2023-09-14 00:03:18.825000000
3154,2023-09-14 00:03:18.783000000
1683,2023-09-14 00:03:18.757000000
2965,2023-09-14 00:03:18.744000000
3206,2023-09-14 00:03:18.741000000
1250,2023-09-14 00:03:18.735000000
1751,2023-09-14 00:03:18.733000000
658,2023-09-14 00:03:18.730000000
3165,2023-09-14 00:03:18.724000000
2470,2023-09-14 00:03:18.722000000
2277,2023-09-14 00:03:18.719000000
1146,2023-09-14 00:03:18.715000000
503,2023-09-14 00:03:18.686000000
1356,2023-09-14 00:03:18.679000000
2118,2023-09-14 00:03:18.655000000
1643,2023-09-14 00:03:18.651000000
3308,2023-09-14 00:03:18.632000000
2438,2023-09-14 00:03:18.621000000
2363,2023-09-14 00:03:18.604000000
877,2023-09-14 00:03:18.600000000
3407,2023-09-14 00:03:18.577000000
3754,2023-09-14 00:03:18.577000000
2549,2023-09-14 00:03:18.576000000
1873,2023-09-14 00:03:18.574000000
1457,2023-09-14 00:03:18.563000000
1243,2023-09-14 00:03:18.549000000
3087,2023-09-14 00:03:18.539000000
3687,2023-09-14 00:03:18.525000000
1021,2023-09-14 00:03:18.519000000
1795,2023-09-14 00:03:18.493000000
1591,2023-09-14 00:03:18.482000000
3170,2023-09-14 00:03:18.477000000
1351,2023-09-14 00:03:18.459000000
3329,2023-09-14 00:03:18.450000000
3026,2023-09-14 00:03:18.448000000
3426,2023-09-14 00:03:18.447000000
3621,2023-09-14 00:03:18.443000000
3094,2023-09-14 00:03:18.439000000
1078,2023-09-14 00:03:18.401000000
2397,2023-09-14 00:03:18.396000000
1543,2023-09-14 00:03:18.381000000
2372,2023-09-14 00:03:18.381000000
1547,2023-09-14 00:03:18.370000000
2150,2023-09-14 00:03:18.352000000
1529,2023-09-14 00:03:18.352000000
784,2023-09-14 00:03:18.349000000
1625,2023-09-14 00:03:18.338000000
2255,2023-09-14 00:03:18.335000000
1395,2023-09-14 00:03:18.334000000
3226,2023-09-14 00:03:18.319000000
997,2023-09-14 00:03:18.306000000
2491,2023-09-14 00:03:18.275000000
273,2023-09-14 00:03:18.274000000
1083,2023-09-14 00:03:18.271000000
489,2023-09-14 00:03:18.260000000
1126,2023-09-14 00:03:18.259000000
935,2023-09-14 00:03:18.239000000
294,2023-09-14 00:03:18.237000000
1690,2023-09-14 00:03:18.232000000
2415,2023-09-14 00:03:18.231000000
2981,2023-09-14 00:03:18.221000000
2133,2023-09-14 00:03:18.215000000
2474,2023-09-14 00:03:18.180000000
2928,2023-09-14 00:03:18.170000000
1430,2023-09-14 00:03:18.160000000
2809,2023-09-14 00:03:18.131000000
1812,2023-09-14 00:03:18.129000000
700,2023-09-14 00:03:18.125000000
1042,2023-09-14 00:03:18.110000000
2511,2023-09-14 00:03:18.109000000
847,2023-09-14 00:03:18.108000000
2093,2023-09-14 00:03:18.106000000
2185,2023-09-14 00:03:18.098000000
1901,2023-09-14 00:03:18.057000000
366,2023-09-14 00:03:18.057000000
786,2023-09-14 00:03:18.047000000
511,2023-09-14 00:03:18.025000000
1408,2023-09-14 00:03:18.023000000
423,2023-09-14 00:03:18.020000000
419,2023-09-14 00:03:18.020000000
2986,2023-09-14 00:03:18.018000000
2271,2023-09-14 00:03:18.012000000
379,2023-09-14 00:03:18.012000000
1104,2023-09-14 00:03:18.010000000
3027,2023-09-14 00:03:17.995000000
336,2023-09-14 00:03:17.958000000
1459,2023-09-14 00:03:17.951000000
3094,2023-09-14 00:03:17.949000000
2668,2023-09-14 00:03:17.931000000
1083,2023-09-14 00:03:17.928000000
450,2023-09-14 00:03:17.923000000
2445,2023-09-14 00:03:17.918000000
1802,2023-09-14 00:03:17.915000000
2907,2023-09-14 00:03:17.910000000
3035,2023-09-14 00:03:17.909000000
1750,2023-09-14 00:03:17.904000000
439,2023-09-14 00:03:17.888000000
712,2023-09-14 00:03:17.883000000
2738,2023-09-14 00:03:17.862000000
2805,2023-09-14 00:03:17.852000000
1785,2023-09-14 00:03:17.835000000
1192,2023-09-14 00:03:17.814000000
1266,2023-09-14 00:03:17.788000000
480,2023-09-14 00:03:17.785000000
3041,2023-09-14 00:03:17.780000000
497,2023-09-14 00:03:17.773000000
605,2023-09-14 00:03:17.771000000
2576,2023-09-14 00:03:17.768000000
2448,2023-09-14 00:03:17.766000000
2978,2023-09-14 00:03:17.765000000
1809,2023-09-14 00:03:17.762000000
1879,2023-09-14 00:03:17.739000000
133,2023-09-14 00:03:17.724000000
1731,2023-09-14 00:03:17.658000000
1633,2023-09-14 00:03:17.653000000
2657,2023-09-14 00:03:17.653000000
